type,month,value
ticket,1,3450109
ticket,2,3305369
ticket,3,3544040
ticket,4,3399723
ticket,5,3934930
ticket,6,3391251
ticket,7,3566171
ticket,8,3630644
ticket,9,3280179
ticket,10,3793991
ticket,11,3639375
ticket,12,4038653
one_way,1,1298963
one_way,2,1950937
one_way,3,1273552
one_way,4,1277987
one_way,5,1688247
one_way,6,1421536
one_way,7,1598684
one_way,8,1732345
one_way,9,1732345
one_way,10,1511352
one_way,11,1213056
one_way,12,1433541
one_day,1,7622
one_day,2,23088
one_day,3,7008
one_day,4,2734
one_day,5,14207
one_day,6,9029
one_day,7,13862
one_day,8,15854
one_day,9,13095
one_day,10,12331
one_day,11,5751
one_day,12,7024
group,1,28346
group,2,35115
group,3,18610
group,4,19593
group,5,19131
group,6,16790
group,7,32110
group,8,33964
group,9,14821
group,10,19436
group,11,19213
group,12,19068
other,1,7606
other,2,24805
other,3,6128
other,4,5709
other,5,128335
other,6,7956
other,7,7785
other,8,9113
other,9,5095
other,10,20303
other,11,12813
other,12,49934
